# x1,y1
0.000000000000000000e+00,8.266623440337239614e-02
2.020202020202020166e-01,6.418418198322660695e-01
4.040404040404040331e-01,1.978577534578527475e+00
6.060606060606060774e-01,2.745788232461430223e+00
8.080808080808080662e-01,3.186680798579694329e+00
1.010101010101010166e+00,3.243445023788141590e+00
1.212121212121212155e+00,3.864326102207927160e+00
1.414141414141414144e+00,3.837319692701390395e+00
1.616161616161616132e+00,3.847093100799376053e+00
1.818181818181818121e+00,3.509725912348675703e+00
2.020202020202020332e+00,3.553880723576626988e+00
2.222222222222222321e+00,2.792216533436205683e+00
2.424242424242424310e+00,2.441836343993116998e+00
2.626262626262626299e+00,1.630784390867941802e+00
2.828282828282828287e+00,8.534551481777322701e-01
3.030303030303030276e+00,1.448219465451502375e-01
3.232323232323232265e+00,-1.982272858522887149e-01
3.434343434343434254e+00,-1.018561675295534652e+00
3.636363636363636243e+00,-1.332662664230148453e+00
3.838383838383838231e+00,-1.186790164294920347e+00
4.040404040404040664e+00,-2.038531748350061790e+00
4.242424242424242209e+00,-2.030866566201833479e+00
4.444444444444444642e+00,-2.357277816397484127e+00
4.646464646464646187e+00,-2.354544680295101333e+00
4.848484848484848619e+00,-2.065066577210327381e+00
5.050505050505050164e+00,-1.974666016717930184e+00
5.252525252525252597e+00,-1.828346718645929680e+00
5.454545454545454142e+00,-1.785863443116567861e+00
5.656565656565656575e+00,-9.387605116230209878e-01
5.858585858585858119e+00,-9.088928194644897429e-01
6.060606060606060552e+00,-4.312016147908877550e-01
6.262626262626262097e+00,-1.199835113161160094e-01
6.464646464646464530e+00,4.563345659452539005e-01
6.666666666666666963e+00,6.433657056050525735e-01
6.868686868686868507e+00,9.444529086690520714e-01
7.070707070707070940e+00,1.171733796893747348e+00
7.272727272727272485e+00,1.327613045373482681e+00
7.474747474747474918e+00,1.520079736847917751e+00
7.676767676767676463e+00,1.314314552308041950e+00
7.878787878787878896e+00,1.397817679539020252e+00
8.080808080808081328e+00,1.144929952316773081e+00
8.282828282828281985e+00,1.141935820731329043e+00
8.484848484848484418e+00,9.897415236755316981e-01
8.686868686868686851e+00,1.171438834467936285e+00
8.888888888888889284e+00,7.058812551305015948e-01
9.090909090909089940e+00,6.502218783035060845e-01
9.292929292929292373e+00,2.629196610730527572e-01
9.494949494949494806e+00,-2.942908395836869584e-01
9.696969696969697239e+00,-1.468871230486682999e-01
9.898989898989899672e+00,-3.355201673480081026e-01
1.010101010101010033e+01,-6.616194287099685933e-01
1.030303030303030276e+01,-9.401695792895343740e-01
1.050505050505050519e+01,-6.338024400593090801e-01
1.070707070707070763e+01,-9.780528655102317392e-01
1.090909090909090828e+01,-9.761637231655126978e-01
1.111111111111111072e+01,-5.164325989438038889e-01
1.131313131313131315e+01,-1.074601154451475304e+00
1.151515151515151558e+01,-9.057302714369884766e-01
1.171717171717171624e+01,-7.174974802631710613e-01
1.191919191919191867e+01,-4.764598849742555098e-01
1.212121212121212110e+01,-1.513026694625225488e-01
1.232323232323232354e+01,-6.679887115267194031e-02
1.252525252525252419e+01,3.169560118812981830e-01
1.272727272727272663e+01,2.186421151170399590e-01
1.292929292929292906e+01,2.473223418066368973e-01
1.313131313131313149e+01,5.173317672171208192e-01
1.333333333333333393e+01,2.439911952579230936e-01
1.353535353535353458e+01,5.027077356493062643e-01
1.373737373737373701e+01,5.974844226763436073e-01
1.393939393939393945e+01,6.692480361328296823e-01
1.414141414141414188e+01,6.988505086661308541e-01
1.434343434343434254e+01,5.497067676232548772e-01
1.454545454545454497e+01,6.407596582519587969e-01
1.474747474747474740e+01,2.755728352398253422e-01
1.494949494949494984e+01,2.556785808321639375e-01
1.515151515151515049e+01,2.086854069651410126e-01
1.535353535353535293e+01,1.501072031004678231e-01
1.555555555555555536e+01,4.839517890618762475e-01
1.575757575757575779e+01,-6.922575691929715169e-03
1.595959595959595845e+01,-2.670950454390986772e-01
1.616161616161616266e+01,-1.990958318894691104e-01
1.636363636363636331e+01,-2.389064238825816533e-03
1.656565656565656397e+01,-3.238121857224187106e-01
1.676767676767676818e+01,-7.171217573754882224e-01
1.696969696969696884e+01,-3.865132558882106162e-01
1.717171717171717304e+01,-2.475789687659593064e-01
1.737373737373737370e+01,1.095530431385101644e-01
1.757575757575757436e+01,-2.070058514967557384e-01
1.777777777777777857e+01,-8.405637441653660002e-02
1.797979797979797922e+01,3.241051874769275143e-01
1.818181818181817988e+01,-1.211356441834188918e-01
1.838383838383838409e+01,3.905078889825944199e-02
1.858585858585858475e+01,6.011914059260210774e-02
1.878787878787878896e+01,3.010360067541478779e-01
1.898989898989898961e+01,-4.481660583095851969e-02
1.919191919191919027e+01,4.568123772269223615e-01
1.939393939393939448e+01,3.984745792737485193e-01
1.959595959595959513e+01,1.966253080039247481e-01
1.979797979797979934e+01,2.630920877289875115e-01
2.000000000000000000e+01,4.544066747792788741e-01
