# x1,y_fit1
0.000000000000000000e+00,0.000000000000000000e+00
2.020202020202020166e-01,9.700273593309570730e-01
4.040404040404040331e-01,1.837672327142785278e+00
6.060606060606060774e-01,2.574529423988201504e+00
8.080808080808080662e-01,3.159329866050554436e+00
1.010101010101010166e+00,3.578336554037209183e+00
1.212121212121212155e+00,3.825408885216208255e+00
1.414141414141414144e+00,3.901756270725154074e+00
1.616161616161616132e+00,3.815410594124537091e+00
1.818181818181818121e+00,3.580457239385288482e+00
2.020202020202020332e+00,3.216071495176144879e+00
2.222222222222222321e+00,2.745411961417994817e+00
2.424242424242424310e+00,2.194425002458758378e+00
2.626262626262626299e+00,1.590614367476052893e+00
2.828282828282828287e+00,9.618279822796743650e-01
3.030303030303030276e+00,3.351098359086729372e-01
3.232323232323232265e+00,-2.643408668204221823e-01
3.434343434343434254e+00,-8.140681979832948834e-01
3.636363636363636243e+00,-1.295088595109030960e+00
3.838383838383838231e+00,-1.692432105673840059e+00
4.040404040404040664e+00,-1.995486141670326674e+00
4.242424242424242209e+00,-2.198140709716518426e+00
4.444444444444444642e+00,-2.298742174516063663e+00
4.646464646464646187e+00,-2.299869893533433185e+00
4.848484848484848619e+00,-2.207956287122244898e+00
5.050505050505050164e+00,-2.032775897969886447e+00
5.252525252525252597e+00,-1.786832625441978850e+00
5.454545454545454142e+00,-1.484676535850900869e+00
5.656565656565656575e+00,-1.142182451510703745e+00
5.858585858585858119e+00,-7.758219693212209389e-01
6.060606060606060552e+00,-4.019587640388058158e-01
6.262626262626262097e+00,-3.619414590116788732e-02
6.464646464646464530e+00,3.072139455029687105e-01
6.666666666666666963e+00,6.158398074187223514e-01
6.868686868686868507e+00,8.794729390835404059e-01
7.070707070707070940e+00,1.090386521786574248e+00
7.272727272727272485e+00,1.243488016618181424e+00
7.474747474747474918e+00,1.336353469103752856e+00
7.676767676767676463e+00,1.369151707352259884e+00
7.878787878787878896e+00,1.344468668305598857e+00
8.080808080808081328e+00,1.267045457302528266e+00
8.282828282828281985e+00,1.143446347329160506e+00
8.484848484848484418e+00,9.816747009795495638e-01
8.686868686868686851e+00,7.907557321713911680e-01
8.888888888888889284e+00,5.803051331714796923e-01
9.090909090909089940e+00,3.601019248567859377e-01
9.292929292929292373e+00,1.396825219016354924e-01
9.494949494949494806e+00,-7.202895953771934479e-02
9.696969696969697239e+00,-2.670415677413654487e-01
9.898989898989899672e+00,-4.385597642600964075e-01
1.010101010101010033e+01,-5.811802720604830608e-01
1.030303030303030276e+01,-6.910198248414556321e-01
1.050505050505050519e+01,-7.657731534055631784e-01
1.070707070707070763e+01,-8.047034082521976606e-01
1.090909090909090828e+01,-8.085698054819445701e-01
1.111111111111111072e+01,-7.794995089814806821e-01
1.131313131313131315e+01,-7.208125592971827977e-01
1.151515151515151558e+01,-6.368099838460741235e-01
1.171717171717171624e+01,-5.325360514410317769e-01
1.191919191919191867e+01,-4.135259653348282161e-01
1.212121212121212110e+01,-2.855501420979761895e-01
1.232323232323232354e+01,-1.543656357124435774e-01
1.252525252525252419e+01,-2.548428977526080719e-02
1.272727272727272663e+01,9.603409956078239051e-02
1.292929292929292906e+01,2.057568776814722444e-01
1.313131313131313149e+01,3.000168719832997932e-01
1.333333333333333393e+01,3.760107800695834390e-01
1.353535353535353458e+01,4.318562303171172290e-01
1.373737373737373701e+01,4.666078996178645855e-01
1.393939393939393945e+01,4.802347030768404634e-01
1.414141414141414188e+01,4.735615128316538192e-01
1.434343434343434254e+01,4.481800718620503887e-01
1.454545454545454497e+01,4.063347100377091570e-01
1.474747474747474740e+01,3.507891230647863234e-01
1.494949494949494984e+01,2.846808327765771862e-01
1.515151515151515049e+01,2.113700141604857585e-01
1.535353535353535293e+01,1.342891668562170293e-01
1.555555555555555536e+01,5.679965287590530570e-02
1.575757575757575779e+01,-1.793954741025946542e-02
1.595959595959595845e+01,-8.708635141949318259e-02
1.616161616161616266e+01,-1.482098228998752487e-01
1.636363636363636331e+01,-1.993616629353609504e-01
1.656565656565656397e+01,-2.391235355579042487e-01
1.676767676767676818e+01,-2.666298886358354214e-01
1.696969696969696884e+01,-2.815669433628948948e-01
1.717171717171717304e+01,-2.841494451627483153e-01
1.737373737373737370e+01,-2.750775640479436457e-01
1.757575757575757436e+01,-2.554769793772856401e-01
1.777777777777777857e+01,-2.268256660504605060e-01
1.797979797979797922e+01,-1.908712077086567593e-01
1.818181818181817988e+01,-1.495425963060989238e-01
1.838383838383838409e+01,-1.048604424506245358e-01
1.858585858585858475e+01,-5.884932958537872350e-02
1.878787878787878896e+01,-1.345571531496895720e-02
1.898989898989898961e+01,2.952566268591343482e-02
1.919191919191919027e+01,6.851445512164874851e-02
1.939393939393939448e+01,1.021946221373472158e-01
1.959595959595959513e+01,1.295504191738700017e-01
1.979797979797979934e+01,1.498879004554854733e-01
2.000000000000000000e+01,1.628420140043153053e-01
