x,y2,y2_err
1.000000000000000000e+01,5.481449848863588414e+01,8.719223943760074924e-01
1.473684210526315752e+01,3.610154735339997245e+01,8.132733122866674380e-01
1.947368421052631504e+01,2.633117964861748916e+01,6.378467701619945363e-01
2.421052631578947256e+01,2.139475770208010985e+01,9.135028496568584622e-01
2.894736842105263008e+01,1.855041183377260339e+01,6.552841964089168858e-01
3.368421052631578760e+01,1.865074936635122782e+01,9.932530227233353770e-01
3.842105263157894512e+01,1.774004156743235683e+01,7.511518192182653486e-01
4.315789473684210265e+01,1.238233270809378084e+01,9.562753283796938675e-01
4.789473684210526017e+01,1.489555918453513428e+01,7.186735023980141968e-01
5.263157894736841769e+01,1.015865323851006252e+01,9.561997245629997311e-01
5.736842105263157521e+01,1.118022231666235200e+01,6.459435929710808377e-01
6.210526315789473273e+01,1.304918094511335980e+01,9.607581620112022325e-01
6.684210526315789025e+01,1.213006244522624755e+01,6.414954967323254209e-01
7.157894736842104066e+01,9.759129911468745533e+00,5.702085665118171720e-01
7.631578947368420529e+01,9.528392093698396792e+00,5.369156297821320312e-01
8.105263157894736992e+01,8.901048727962814766e+00,9.796818225389567480e-01
8.578947368421052033e+01,8.156010235037436829e+00,9.360904192675296720e-01
9.052631578947367075e+01,1.030827257333845282e+01,9.987078666809421357e-01
9.526315789473683537e+01,5.634102660262924722e+00,6.505972025603332654e-01
1.000000000000000000e+02,9.874736564044304998e+00,6.334754293883999576e-01
