x,y,y_err
1.500000000000000000e+02,5.282215191168067037e-01,2.815532231156937792e-02
1.583333333333333428e+02,5.408244981542579266e-01,3.643941452443545670e-02
1.666666666666666572e+02,5.863528254495019576e-01,5.572500119050668999e-02
1.750000000000000000e+02,5.020982576810100184e-01,3.732822926132423752e-02
1.833333333333333428e+02,5.235071977457534942e-01,5.810716218291028801e-02
1.916666666666666856e+02,5.301567612619562109e-01,4.141516754411605356e-02
2.000000000000000000e+02,5.117208291853612145e-01,4.010162396775471955e-02
2.083333333333333428e+02,5.691536251265134627e-01,3.991549671095859925e-02
2.166666666666666856e+02,5.169119627471628897e-01,4.002093275239319153e-02
2.250000000000000000e+02,5.787519881085578799e-01,4.961156009890077545e-02
2.333333333333333428e+02,5.570851509310141836e-01,4.839367597177249292e-02
2.416666666666666856e+02,5.242754918597132274e-01,4.653221886096615967e-02
2.500000000000000000e+02,5.940511273331610109e-01,3.855533377357121122e-02
2.583333333333333712e+02,5.028852403145852579e-01,3.095846481292927055e-02
2.666666666666666856e+02,5.394816880109012391e-01,4.492923021505373926e-02
2.750000000000000000e+02,5.747487176208132542e-01,3.200295328744654638e-02
2.833333333333333712e+02,5.980314383041376303e-01,2.792443283833395684e-02
2.916666666666666856e+02,5.778387648952758582e-01,3.345809367858832567e-02
3.000000000000000000e+02,5.507919946528281319e-01,5.153246034743446530e-02
3.083333333333333712e+02,5.973577687290068106e-01,2.159691557635944059e-02
3.166666666666666856e+02,5.350659068981452604e-01,5.313306670099069567e-02
3.250000000000000000e+02,5.181079690362843104e-01,5.077851354894260399e-02
3.333333333333333712e+02,5.529331763864723248e-01,4.737708666881013803e-02
3.416666666666666856e+02,5.284890053820835432e-01,4.761191339628729341e-02
3.500000000000000000e+02,5.960028729760135091e-01,4.286388744925114652e-02
